Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,41128771
"Population, total",SP.POP.TOTL,Albania,ALB,2777689
"Population, total",SP.POP.TOTL,Algeria,DZA,44903225
"Population, total",SP.POP.TOTL,Andorra,AND,79824
"Population, total",SP.POP.TOTL,Angola,AGO,35588987
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,93763
"Population, total",SP.POP.TOTL,Argentina,ARG,46234830
"Population, total",SP.POP.TOTL,Armenia,ARM,2780469
"Population, total",SP.POP.TOTL,Aruba,ABW,106445
"Population, total",SP.POP.TOTL,Australia,AUS,26014399
"Population, total",SP.POP.TOTL,Austria,AUT,9041851
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,10141756
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,409984
"Population, total",SP.POP.TOTL,Bahrain,BHR,1472233
"Population, total",SP.POP.TOTL,Bangladesh,BGD,171186372
"Population, total",SP.POP.TOTL,Barbados,BRB,281635
"Population, total",SP.POP.TOTL,Belarus,BLR,9228071
"Population, total",SP.POP.TOTL,Belgium,BEL,11685814
"Population, total",SP.POP.TOTL,Belize,BLZ,405272
"Population, total",SP.POP.TOTL,Benin,BEN,13352864
"Population, total",SP.POP.TOTL,Bermuda,BMU,63595
"Population, total",SP.POP.TOTL,Bhutan,BTN,782455
"Population, total",SP.POP.TOTL,Bolivia,BOL,12224110
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3233526
"Population, total",SP.POP.TOTL,Botswana,BWA,2630296
"Population, total",SP.POP.TOTL,Brazil,BRA,215313498
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,449002
"Population, total",SP.POP.TOTL,Bulgaria,BGR,6465097
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,22673762
"Population, total",SP.POP.TOTL,Burundi,BDI,12889576
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,593149
"Population, total",SP.POP.TOTL,Cambodia,KHM,16767842
"Population, total",SP.POP.TOTL,Cameroon,CMR,27914536
"Population, total",SP.POP.TOTL,Canada,CAN,38939056
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,68706
"Population, total",SP.POP.TOTL,Central African Republic,CAF,5579144
"Population, total",SP.POP.TOTL,Chad,TCD,17723315
"Population, total",SP.POP.TOTL,Chile,CHL,19603733
"Population, total",SP.POP.TOTL,China,CHN,1412175000
"Population, total",SP.POP.TOTL,Colombia,COL,51874024
"Population, total",SP.POP.TOTL,Comoros,COM,836774
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,99010212
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5970424
"Population, total",SP.POP.TOTL,Costa Rica,CRI,5180829
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,28160542
"Population, total",SP.POP.TOTL,Croatia,HRV,3855641
"Population, total",SP.POP.TOTL,Cuba,CUB,11212191
"Population, total",SP.POP.TOTL,Cyprus,CYP,1251488
"Population, total",SP.POP.TOTL,Czechia,CZE,10672118
"Population, total",SP.POP.TOTL,Denmark,DNK,5903037
"Population, total",SP.POP.TOTL,Djibouti,DJI,1120849
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,11228821
"Population, total",SP.POP.TOTL,Ecuador,ECU,18001000
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,110990103
"Population, total",SP.POP.TOTL,El Salvador,SLV,6336392
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1674908
"Population, total",SP.POP.TOTL,Eritrea,ERI,3684032
"Population, total",SP.POP.TOTL,Estonia,EST,1348840
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1201670
"Population, total",SP.POP.TOTL,Ethiopia,ETH,123379924
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,53090
"Population, total",SP.POP.TOTL,Fiji,FJI,929766
"Population, total",SP.POP.TOTL,Finland,FIN,5556106
"Population, total",SP.POP.TOTL,France,FRA,67971311
"Population, total",SP.POP.TOTL,Gabon,GAB,2388992
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2705992
"Population, total",SP.POP.TOTL,Georgia,GEO,3712502
"Population, total",SP.POP.TOTL,Germany,DEU,83797985
"Population, total",SP.POP.TOTL,Ghana,GHA,33475870
"Population, total",SP.POP.TOTL,Gibraltar,GIB,32649
"Population, total",SP.POP.TOTL,Greece,GRC,10426919
"Population, total",SP.POP.TOTL,Greenland,GRL,56661
"Population, total",SP.POP.TOTL,Grenada,GRD,125438
"Population, total",SP.POP.TOTL,Guam,GUM,171774
"Population, total",SP.POP.TOTL,Guatemala,GTM,17357886
"Population, total",SP.POP.TOTL,Guinea,GIN,13859341
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,2105566
"Population, total",SP.POP.TOTL,Guyana,GUY,808726
"Population, total",SP.POP.TOTL,Haiti,HTI,11584996
"Population, total",SP.POP.TOTL,Honduras,HND,10432860
"Population, total",SP.POP.TOTL,Hungary,HUN,9643048
"Population, total",SP.POP.TOTL,Iceland,ISL,382003
"Population, total",SP.POP.TOTL,India,IND,1417173173
"Population, total",SP.POP.TOTL,Indonesia,IDN,275501339
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,88550570
"Population, total",SP.POP.TOTL,Iraq,IRQ,44496122
"Population, total",SP.POP.TOTL,Ireland,IRL,5127170
"Population, total",SP.POP.TOTL,Israel,ISR,9557500
"Population, total",SP.POP.TOTL,Italy,ITA,58940425
"Population, total",SP.POP.TOTL,Jamaica,JAM,2827377
"Population, total",SP.POP.TOTL,Japan,JPN,125124989
"Population, total",SP.POP.TOTL,Jordan,JOR,11285869
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,19634983
"Population, total",SP.POP.TOTL,Kenya,KEN,54027487
"Population, total",SP.POP.TOTL,Kiribati,KIR,131232
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,26069416
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51672569
"Population, total",SP.POP.TOTL,Kosovo,XKX,1768086
"Population, total",SP.POP.TOTL,Kuwait,KWT,4268873
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6974900
"Population, total",SP.POP.TOTL,Lao PDR,LAO,7529475
"Population, total",SP.POP.TOTL,Latvia,LVA,1879383
"Population, total",SP.POP.TOTL,Lebanon,LBN,5489739
"Population, total",SP.POP.TOTL,Lesotho,LSO,2305825
"Population, total",SP.POP.TOTL,Liberia,LBR,5302681
"Population, total",SP.POP.TOTL,Libya,LBY,6812341
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,39327
"Population, total",SP.POP.TOTL,Lithuania,LTU,2831639
"Population, total",SP.POP.TOTL,Luxembourg,LUX,653103
"Population, total",SP.POP.TOTL,Madagascar,MDG,29611714
"Population, total",SP.POP.TOTL,Malawi,MWI,20405317
"Population, total",SP.POP.TOTL,Malaysia,MYS,33938221
"Population, total",SP.POP.TOTL,Maldives,MDV,523787
"Population, total",SP.POP.TOTL,Mali,MLI,22593590
"Population, total",SP.POP.TOTL,Malta,MLT,531113
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,41569
"Population, total",SP.POP.TOTL,Mauritania,MRT,4736139
"Population, total",SP.POP.TOTL,Mauritius,MUS,1262523
"Population, total",SP.POP.TOTL,Mexico,MEX,127504125
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,114164
"Population, total",SP.POP.TOTL,Moldova,MDA,2538894
"Population, total",SP.POP.TOTL,Monaco,MCO,36469
"Population, total",SP.POP.TOTL,Mongolia,MNG,3398366
"Population, total",SP.POP.TOTL,Montenegro,MNE,617213
"Population, total",SP.POP.TOTL,Morocco,MAR,37457971
"Population, total",SP.POP.TOTL,Mozambique,MOZ,32969518
"Population, total",SP.POP.TOTL,Myanmar,MMR,54179306
"Population, total",SP.POP.TOTL,Namibia,NAM,2567012
"Population, total",SP.POP.TOTL,Nauru,NRU,12668
"Population, total",SP.POP.TOTL,Nepal,NPL,30547580
"Population, total",SP.POP.TOTL,Netherlands,NLD,17700982
"Population, total",SP.POP.TOTL,New Caledonia,NCL,269215
"Population, total",SP.POP.TOTL,New Zealand,NZL,5117200
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6948392
"Population, total",SP.POP.TOTL,Niger,NER,26207977
"Population, total",SP.POP.TOTL,Nigeria,NGA,218541212
"Population, total",SP.POP.TOTL,North Macedonia,MKD,1831712
"Population, total",SP.POP.TOTL,Norway,NOR,5457127
"Population, total",SP.POP.TOTL,Oman,OMN,4576298
"Population, total",SP.POP.TOTL,Pakistan,PAK,235824862
"Population, total",SP.POP.TOTL,Palau,PLW,18055
